,sentence.id,sentence.id,agent.id,agent.id,wpm,wpm,lev.distance,lev.distance,gaze.shift,gaze.shift,bs,bs,immediate.bs,immediate.bs,delayed.bs,delayed.bs,gaze.keyboard.ratio,gaze.keyboard.ratio,fix.count,fix.count,finger.travel,finger.travel,iki,iki
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
target.sentence,,,,,,,,,,,,,,,,,,,,,,,,
2,29.944969476419235,,0,,1,,1,,0,,0.7393161865895834,,10,,32.42870870273209,,267.1567258166604,,1,,0,,62.204774038211575,
