episode,mean_reward,sd_reward,min_reward,max_reward,mean_td_error,sd_td_error,min_td_error,max_td_error
0,-0.10831923102786085,0.10831923102786085,-0.2166384620557217,0.0,-0.10831923102786085,0.10831923102786085,-0.2166384620557217,0.0
10000,3.472880521564811,2.188776742399926,-0.21761642741746148,4.986184489442036,0.4033705215648199,1.569244066122023,-4.418384326986392,2.106184489442034
20000,3.3628433149207666,2.2435842468978753,-0.21761288068678367,4.986184489442036,-0.0028466850791896902,1.6042947151950664,-4.428384326986385,1.6061844894420854
30000,3.5954928634338703,2.1209942195710965,-0.2176220101141199,4.986184489442036,0.11063286343394471,1.4544864967819577,-4.442179382786814,4.87161567301358
40000,3.311642817207492,2.2655963544761573,-0.21761642741746148,4.986184489442036,-0.11882718279240591,1.6228914643563388,-4.4583843269863594,4.607820617213112
50000,3.4601424483908643,2.194283043745905,-0.21761642741746148,4.986184489442036,-0.08216755160900215,1.5362986337930595,-4.428384326986353,1.1932344864373414
60000,3.387970920761413,2.2354954894185806,-0.21761642741746148,4.986184489442036,-0.08124907923842975,1.5510564036151577,-4.442179382786778,4.607820617213113
70000,3.4961035111486973,2.1744784712947154,-0.21761288068678367,4.986184489442036,-0.08230648885110989,1.5556034439896156,-4.452179382786801,4.5825462175113
80000,3.465515833153553,2.1951993875474556,-0.2176220101141199,4.986184489442036,-0.03255416684623053,1.4599764348210078,-4.442179382786688,4.607820617213113
90000,3.554809707451096,2.1413315159238078,-0.21761642741746148,4.986184489442036,-0.08440029254864671,1.5515492505466904,-4.438384326986198,4.87161567301358
100000,3.4751672168071828,2.188109226126951,-0.21761166314262065,4.986184489442036,-0.11504278319253254,1.5757713761402725,-4.428384326986298,4.87161567301358
110000,3.5652529465451797,2.1387731564584658,-0.21759839313609602,4.986184489442036,-0.019017053454512378,1.4417552861619403,-4.438384326986234,4.607820617213115
120000,3.474161530220398,2.1885299919422407,-0.2176220101141199,4.986184489442036,-0.11301846977926515,1.5259249486212467,-4.4221793827866875,4.6078206172131155
130000,3.431134439048957,2.2101615448785044,-0.21761642741746148,4.986184489442036,-0.14534556095068046,1.5897266253361688,-4.4321793827867335,4.837820617213111
140000,3.497068003604663,2.1764113657745807,-0.21761642741746148,4.986184489442036,-0.02390199639494849,1.5715142676289726,-4.428384326986097,4.591615673013584
150000,3.6013888615856295,2.113086451600391,-0.21761288068678367,4.986184489442036,-0.09229113841393823,1.6443730445424,-4.438384326986007,4.87161567301358
160000,3.5871028842217663,2.121474924330009,-0.21759839313609602,4.986184489442036,-0.10537711577776761,1.6349636341678215,-4.438384326986042,4.8878206172131105
170000,3.5370422173516065,2.153862360608735,-0.21761288068678367,4.986184489442036,-0.12221778264791254,1.5559479740278686,-4.442179382786519,0.9961844894427738
180000,3.661385912428039,2.0732960393855397,-0.2176220101141199,4.986184489442036,-0.09475408757144832,1.618300231140498,-4.428384326985919,1.4732344864371343
190000,3.6120635462969286,2.1052306836851864,-0.21761642741746148,4.986184489442036,-0.16938645370252076,1.6734371916329407,-4.428384326986197,4.837820617213111
200000,3.7319917251794736,2.027608246482582,-0.21759089680665833,4.986184489442036,-0.09050827481994482,1.6123888067272305,-4.458384326985951,4.403361537944279
210000,3.6157419301256155,2.1005398412043945,-0.2176220101141199,4.986184489442036,-0.1692880698737682,1.6966387869532729,-4.428384326985934,4.8878206172131105
220000,3.676190558591892,2.0641261934197055,-0.21761642741746148,4.986184489442036,-0.11502944140747323,1.625701292362786,-4.438384326986031,1.3661844894429929
230000,3.755500068117929,2.010412920218628,-0.21761166314262065,4.986184489442036,-0.03622993188140053,1.5455117312820559,-4.428384326985377,1.2161844894430414
240000,3.665880674368331,2.0718175703315898,-0.21761288068678367,4.986184489442036,-0.08033932563097242,1.623190039084308,-4.4383843269857675,4.87161567301358
250000,3.7997682318406634,1.9764807940713078,-0.2176220101141199,4.986184489442036,-0.037161768158589625,1.564547121737732,-4.418384326985987,4.87161567301358
