steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
10000	8243	29.66623020172119	2.070842168058558	2.3087040477194205	1.9351017988292116	4.476051052228792	-0.14966453607555102	2.316887162584282	0	0
20000	16523	59.70623445510864	3.1856503928842907	3.4334317234429923	1.5227123014955997	4.47867532230766	0.04253173763849655	2.357923428642248	0	0
30000	24840	89.8425076007843	2.0732106676980835	2.4094223653916256	1.9608302293465176	4.4768116246261656	-0.33148641273335566	2.3197674462111957	0	0
40000	33036	119.71335983276367	1.6777767518113622	1.2970560901136405	1.7827104345274571	4.471553273876403	-0.1378797730163317	2.386675040058724	0	0
50000	41338	149.52502512931824	2.4796722760092123	2.3865649180976263	1.7199214643868574	4.4677915806941995	-0.2577023974493304	2.31261936518576	0	0
60000	49591	179.6583731174469	2.7257950328263525	3.4302879077257566	2.0313744157237	4.479544446282415	-0.3225073406845134	2.350174429593447	0.01465703327587338	10
70000	57815	209.75789761543274	2.162559256657597	2.3491925838161447	1.8350248932008353	4.476718332658281	0.21686679320257207	2.3484193287644044	0.028404693143263122	20
80000	65615	239.92519521713257	1.900634073817483	2.3467059526680254	1.3839792079766264	4.439980813889675	-0.16749113041488178	2.434757498556587	0.043158552204423405	30
90000	73035	269.8665099143982	2.519036790246196	2.308905371175886	1.8823348747758344	4.481866461094111	0.10950006394848699	2.4400732227178	0.062064962516642	40
100001	80542	299.99480390548706	2.5815145961166173	2.3932622538194077	1.5549093063187205	4.483286320762721	0.2160207180346051	2.4365330241867356	0.072438911887482	51
110000	88325	330.4877498149872	1.1598266455203858	0.274084541053367	1.5681704655803363	4.462290824764565	-0.21406504350665193	2.5450659137715435	0.08521698701293445	60
120000	95936	360.89749360084534	1.2675951378551944	0.26571427277472864	1.5196791040319086	4.4733930418763554	-0.02813328526641266	2.475496257940547	0.09249938955233548	70
130000	103519	391.33592438697815	1.655039831737024	0.3191129688552771	2.0627683951974003	4.471553273876403	-0.184099983458261	2.5094257462008835	0.10153205469400453	80
140001	111031	421.8030035495758	1.1515230328809725	0.2593423654611047	1.6033709316602596	4.432345441852177	-0.24688631094029811	2.5193737816954167	0.10805218476719222	91
150000	118382	452.31322717666626	2.573494076006129	2.403527268441316	1.829231558017773	4.483709445471496	0.2101242262477933	2.600443107093056	0.1130216269886391	100
160000	125446	482.7330117225647	1.6550442256333235	0.26231205413629954	2.0624311246779077	4.484331315860176	-0.263435346396691	2.5307462598420947	0.11931465367346485	110
170000	132364	513.0932652950287	2.456087432017769	2.3433122392119783	1.994616153869832	4.490799838122688	-0.27503211983199377	2.4687956177395334	0.12175261272038233	120
180001	139463	543.6375546455383	1.878689252136117	1.2930149204276462	1.9939282556270794	4.468540754800286	-0.05415058876718564	2.534834067599118	0.1309044742223578	131
